Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2025-09-15,251.75999450683594,252.75,244.97999572753906,245.13999938964844,29935200
2025-09-16,251.4199981689453,253.22999572753906,249.71499633789062,252.3300018310547,24493500
2025-09-17,249.85000610351562,251.9499969482422,246.5800018310547,251.4600067138672,20491300
2025-09-18,252.3300018310547,254.13999938964844,250.11000061035156,251.86000061035156,21166400
2025-09-19,255.24000549316406,256.70001220703125,252.0679931640625,253.39999389648438,41616800
2025-09-22,252.8800048828125,256.30999755859375,250.80999755859375,254.77999877929688,20079000
2025-09-23,252.33999633789062,254.77000427246094,251.08999633789062,253.65499877929688,17521100
2025-09-24,247.8300018310547,252.9600067138672,247.22000122070312,252.14999389648438,16958500
2025-09-25,246.57000732421875,247.31500244140625,241.64999389648438,244.83999633789062,17379800
2025-09-26,247.17999267578125,250.1199951171875,246.63999938964844,247.78500366210938,16594600
2025-09-29,244.36000061035156,251.6479949951172,243.1999969482422,248.27499389648438,23157200
2025-09-30,243.5500030517578,243.6750030517578,239.5709991455078,243.05999755859375,22541200
2025-10-01,245.5399932861328,247.14999389648438,239.1999969482422,241.17999267578125,23967700
2025-10-02,246.42999267578125,247.63499450683594,243.10499572753906,245.63999938964844,20657500
2025-10-03,246.4499969482422,247.1179962158203,242.47000122070312,245.22999572753906,19941400
2025-10-06,251.50999450683594,252.1999969482422,245.69000244140625,245.77999877929688,18309000
2025-10-07,247.1300048828125,251.5500030517578,246.80999755859375,248.92999267578125,13811200
2025-10-08,245.4600067138672,247.25999450683594,245.08999633789062,246.1999969482422,14136500
2025-10-09,242.2100067138672,245.55499267578125,239.67999267578125,245.05999755859375,19375700
2025-10-10,237.49000549316406,244.83999633789062,236.68499755859375,242.16000366210938,22449100
2025-10-13,244.63999938964844,244.99000549316406,240.75,241.02999877929688,12465000
2025-10-14,246.19000244140625,248.02499389648438,241.17799377441406,241.7550048828125,17705400
